"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-06-30,63630,"14609","NY","Rochester","Monroe","Rochester",965,93900,-0.00529661016949152,0.0421753607103219,0.0893271461716937,0.0299973673921801,0.0205720780917484,"2017-05","2017-Q2",94400,-0.00529661016949153,"2017-05"
2017-06-30,69372,"27513","NC","Raleigh","Wake","Cary",966,299500,0.00267827251422832,0.0118243243243243,0.0571831980232969,0.0535856490418751,0.0212514943862299,"2017-06","2017-Q2",299500,0,"2017-06"
2017-06-30,71229,"30605","GA","Athens","Clarke","Athens",967,144800,0,0.00138312586445367,0.0887218045112782,0.0484421353749191,0.0039519616926138,"2017-04","2017-Q2",144900,-0.000690131124913734,"2017-04"
2017-06-30,94914,"85338","AZ","Phoenix","Maricopa","Goodyear",968,232400,0.00911854103343465,0.020641194554238,0.0636155606407323,0.100308400273215,-0.0113493878339275,"2006-01","2006-Q1",285300,-0.185418857343148,"2005-05"
2017-06-30,73195,"34741","FL","Orlando","Osceola","Kissimmee",969,130500,0.00616808018504241,0.026750590086546,0.133796698523023,0.151357407430604,-0.0306186518350446,"2006-12","2006-Q4",184400,-0.292299349240781,"2005-03"
2017-06-30,93459,"80537","CO","Fort Collins","Larimer","Loveland",970,306500,0.00888742593811718,0.0281784636028178,0.107297687861272,0.0953346934347912,0.0421644458210562,"2017-06","2017-Q2",306500,0,"2017-06"
2017-06-30,85052,"61554","IL","Peoria","Tazewell","Pekin",971,91600,-0.00217864923747277,-0.00972972972972973,-0.0150537634408602,0.00286285240890138,-0.00321743337001135,"2008-05","2008-Q2",97500,-0.0605128205128205,"2006-05"
2017-06-30,80979,"52404","IA","Cedar Rapids","Linn","Cedar Rapids",972,116200,0.0104347826086957,0.0496838301716351,0.0184049079754601,0.0175864235257117,-0.00246202742103829,"2008-10","2008-Q4",121100,-0.0404624277456647,"2006-03"
2017-06-30,96807,"92324","CA","Riverside","San Bernardino","Colton",973,273500,0.00699558173784978,0.020903322135125,0.080173775671406,0.136575824231086,-0.0191080148984379,"2006-07","2006-Q3",354300,-0.228055320349986,"2005-05"
2017-06-30,66261,"20171","VA","Washington","Fairfax","Herndon",974,593100,-0.000337097589752233,-0.00653266331658292,0.0347173761339847,0.0276459475793009,0.00746315415699961,"2006-02","2006-Q1",619400,-0.0424604455925089,"2005-07"
2017-06-30,85282,"62040","IL","St. Louis","Madison","Granite City",975,71400,0.00705218617771509,0.0229226361031519,0.05,-0.00139470556920429,-0.0138669700938293,"2007-08","2007-Q3",82600,-0.135593220338983,"2004-01"
2017-06-30,399576,"33578","FL","Tampa","Hillsborough","Riverview",976,178400,-0.00167879127028539,0.000560852495793606,0.0676241771394375,0.0979703421003617,-0.0112649346658398,"2006-08","2006-Q3",213600,-0.164794007490637,"2005-09"
